bri,mired,watt
136,373,4.34
136,383,4.32
136,393,4.36
136,403,4.38
136,413,4.41
136,423,4.35
136,433,4.33
136,443,4.33
136,453,4.34
136,463,4.34
136,473,4.31
136,483,4.26
136,493,4.29
136,500,4.38
141,153,4.35
141,163,4.41
141,173,4.42
141,183,4.27
141,193,4.3
141,203,4.28
141,213,4.33
141,223,4.43
141,233,4.44
141,243,4.4
141,253,4.36
141,263,4.36
141,273,4.42
141,283,4.42
141,293,4.38
141,303,4.39
141,313,4.45
141,323,4.44
141,333,4.49
141,343,4.49
141,353,4.46
141,363,4.38
141,373,4.47
141,383,4.44
141,393,4.51
141,403,4.39
141,413,4.44
141,423,4.47
141,433,4.42
141,443,4.4
141,453,4.43
141,463,4.42
141,473,4.37
141,483,4.39
141,493,4.44
141,500,4.39
146,153,4.51
146,163,4.46
146,173,4.42
146,183,4.47
146,193,4.38
146,203,4.34
146,213,4.32
146,223,4.26
146,233,4.31
146,243,4.39
146,253,4.38
146,263,4.4
146,273,4.45
146,283,4.46
146,293,4.47
146,303,4.53
146,313,4.57
146,323,4.5
146,333,4.54
146,343,4.52
146,353,4.52
146,363,4.56
146,373,4.54
146,383,4.53
146,393,4.57
146,403,4.59
146,413,4.65
146,423,4.61
146,433,4.57
146,443,4.6
146,453,4.63
146,463,4.52
146,473,4.56
146,483,4.61
146,493,4.59
146,500,4.57
151,153,4.52
151,163,4.62
151,173,4.59
151,183,4.5
151,193,4.48
151,203,4.46
151,213,4.38
151,223,4.31
151,233,4.37
151,243,4.3
151,253,4.31
151,263,4.24
151,273,4.24
151,283,4.19
151,293,4.14
151,303,4.07
151,313,4.18
151,323,4.2
151,333,4.19
151,343,4.28
151,353,4.29
151,363,4.39
151,373,4.34
151,383,4.42
151,393,4.48
151,403,4.56
151,413,4.53
151,423,4.55
151,433,4.64
151,443,4.67
151,453,4.64
151,463,4.63
151,473,4.69
151,483,4.66
151,493,4.69
151,500,4.74
156,153,4.77
156,163,4.77
156,173,4.77
156,183,4.74
156,193,4.71
156,203,4.86
156,213,4.78
156,223,4.76
156,233,4.77
156,243,4.69
156,253,4.68
156,263,4.66
156,273,4.56
156,283,4.54
156,293,4.58
156,303,4.48
156,313,4.52
156,323,4.46
156,333,4.38
156,343,4.45
156,353,4.31
156,363,4.36
156,373,4.34
156,383,4.29
156,393,4.4
156,403,4.42
156,413,4.45
156,423,4.49
156,433,4.49
156,443,4.56
156,453,4.58
156,463,4.61
156,473,4.7
156,483,4.77
156,493,4.78
156,500,4.81
161,153,4.91
161,163,4.86
161,173,4.89
161,183,4.84
161,193,4.82
161,203,4.79
161,213,4.78
161,223,4.75
161,233,4.7
161,243,4.62
161,253,4.59
161,263,4.56
161,273,4.57
161,283,4.51
161,293,4.47
161,303,4.38
161,313,4.45
161,323,4.35
161,333,4.33
161,343,4.33
161,353,4.38
161,363,4.44
161,373,4.49
161,383,4.47
161,393,4.51
161,403,4.57
161,413,4.58
161,423,4.61
161,433,4.66
161,443,4.69
161,453,4.67
161,463,4.77
161,473,4.82
161,483,4.85
161,493,4.9
161,500,4.92
166,153,4.99
166,163,4.96
166,173,5.04
166,183,4.97
166,193,5.0
166,203,5.03
166,213,5.08
166,223,4.99
166,233,5.02
166,243,4.93
166,253,4.98
166,263,4.92
166,273,4.9
166,283,4.94
166,293,4.87
166,303,4.88
166,313,4.75
166,323,4.76
166,333,4.71
166,343,4.73
166,353,4.72
166,363,4.58
166,373,4.57
166,383,4.59
166,393,4.72
166,403,4.6
166,413,4.68
166,423,4.76
166,433,4.81
166,443,4.82
166,453,4.8
166,463,4.96
166,473,4.95
166,483,5.01
166,493,5.07
166,500,5.08
171,153,5.1
171,163,5.09
171,173,5.09
171,183,5.12
171,193,5.13
171,203,5.16
171,213,5.12
171,223,5.11
171,233,5.08
171,243,5.09
171,253,5.12
171,263,5.13
171,273,5.12
171,283,5.03
171,293,5.0
171,303,4.91
171,313,4.91
171,323,4.85
171,333,4.9
171,343,4.87
171,353,4.79
171,363,4.71
171,373,4.69
171,383,4.67
171,393,4.74
171,403,4.72
171,413,4.86
171,423,4.89
171,433,4.92
171,443,4.97
171,453,4.96
171,463,5.11
171,473,5.08
171,483,5.04
171,493,5.2
171,500,5.09
176,153,5.31
176,163,5.23
176,173,5.28
176,183,5.26
176,193,5.16
176,203,5.16
176,213,5.17
176,223,5.02
176,233,5.11
176,243,4.93
176,253,4.93
176,263,4.87
176,273,4.83
176,283,4.86
176,293,4.75
176,303,4.71
176,313,4.65
176,323,4.63
176,333,4.69
176,343,4.67
176,353,4.73
176,363,4.82
176,373,4.81
176,383,4.82
176,393,4.83
176,403,4.88
176,413,4.94
176,423,4.98
176,433,5.02
176,443,4.99
176,453,5.13
176,463,5.11
176,473,5.18
176,483,5.18
176,493,5.29
176,500,5.2
181,153,5.25
181,163,5.38
181,173,5.47
181,183,5.38
181,193,5.38
181,203,5.35
181,213,5.31
181,223,5.27
181,233,5.22
181,243,5.17
181,253,5.23
181,263,5.21
181,273,5.09
181,283,5.02
181,293,5.09
181,303,5.0
181,313,4.98
181,323,4.97
181,333,4.79
181,343,4.87
181,353,4.79
181,363,4.82
181,373,4.95
181,383,4.86
181,393,4.94
181,403,5.05
181,413,5.0
181,423,5.07
181,433,5.12
181,443,5.12
181,453,5.21
181,463,5.32
181,473,5.38
181,483,5.38
181,493,5.44
181,500,5.44
186,153,5.55
186,163,5.45
186,173,5.43
186,183,5.53
186,193,5.5
186,203,5.5
186,213,5.46
186,223,5.49
186,233,5.49
186,243,5.47
186,253,5.56
186,263,5.45
186,273,5.39
186,283,5.3
186,293,5.35
186,303,5.3
186,313,5.25
186,323,5.16
186,333,5.19
186,343,5.08
186,353,5.09
186,363,5.09
186,373,4.98
186,383,5.0
186,393,5.11
186,403,5.11
186,413,5.18
186,423,5.26
186,433,5.23
186,443,5.32
186,453,5.34
186,463,5.39
186,473,5.47
186,483,5.49
186,493,5.46
186,500,5.56
191,153,5.56
191,163,5.56
191,173,5.65
191,183,5.6
191,193,5.63
191,203,5.59
191,213,5.61
191,223,5.58
191,233,5.53
191,243,5.59
191,253,5.45
191,263,5.46
191,273,5.42
191,283,5.34
191,293,5.34
191,303,5.24
191,313,5.21
191,323,5.27
191,333,5.14
191,343,5.15
191,353,5.02
191,363,5.0
191,373,5.1
191,383,5.1
191,393,5.17
191,403,5.26
191,413,5.29
191,423,5.26
191,433,5.34
191,443,5.42
191,453,5.5
191,463,5.52
191,473,5.59
191,483,5.61
191,493,5.64
191,500,5.74
196,153,5.71
196,163,5.63
196,173,5.69
196,183,5.59
196,193,5.52
196,203,5.5
196,213,5.49
196,223,5.44
196,233,5.25
196,243,5.29
196,253,5.3
196,263,5.26
196,273,5.14
196,283,5.17
196,293,5.14
196,303,5.2
196,313,5.31
196,323,5.38
196,333,5.37
196,343,5.49
196,353,5.57
196,363,5.55
196,373,5.58
196,383,5.65
196,393,5.68
196,403,5.72
196,413,5.86
196,423,5.8
196,433,5.82
196,443,5.75
196,453,5.81
196,463,5.78
196,473,5.77
196,483,5.78
196,493,5.79
196,500,5.78
201,153,5.77
201,163,5.78
201,173,5.86
201,183,5.83
201,193,5.79
201,203,5.78
201,213,5.73
201,223,5.55
201,233,5.61
201,243,5.54
201,253,5.54
201,263,5.53
201,273,5.38
201,283,5.36
201,293,5.38
201,303,5.36
201,313,5.28
201,323,5.19
201,333,5.19
201,343,5.17
201,353,5.25
201,363,5.29
201,373,5.26
201,383,5.39
201,393,5.32
201,403,5.45
201,413,5.46
201,423,5.55
201,433,5.64
201,443,5.71
201,453,5.69
201,463,5.68
201,473,5.88
201,483,5.89
201,493,5.94
201,500,5.9
206,153,5.96
206,163,5.92
206,173,5.87
206,183,5.88
206,193,5.75
206,203,5.78
206,213,5.68
206,223,5.71
206,233,5.63
206,243,5.53
206,253,5.52
206,263,5.45
206,273,5.49
206,283,5.52
206,293,5.56
206,303,5.64
206,313,5.7
206,323,5.69
206,333,5.78
206,343,5.9
206,353,5.94
206,363,5.94
206,373,6.0
206,383,5.99
206,393,5.99
206,403,6.06
206,413,6.11
206,423,6.0
206,433,6.01
